"animal","dam","sire","sex","cohort"
"0_1",NA,NA,"F",0
"0_2",NA,NA,"M",0
"0_3",NA,NA,"F",0
"0_4",NA,NA,"M",0
"0_5",NA,NA,"F",0
"0_6",NA,NA,"M",0
"0_7",NA,NA,"F",0
"0_8",NA,NA,"M",0
"0_9",NA,NA,"F",0
"0_10",NA,NA,"M",0
"0_11",NA,NA,"F",0
"0_12",NA,NA,"M",0
"0_13",NA,NA,"F",0
"0_14",NA,NA,"M",0
"0_15",NA,NA,"F",0
"0_16",NA,NA,"M",0
"0_17",NA,NA,"F",0
"0_18",NA,NA,"M",0
"0_19",NA,NA,"F",0
"0_20",NA,NA,"M",0
"0_21",NA,NA,"F",0
"0_22",NA,NA,"M",0
"0_23",NA,NA,"F",0
"0_24",NA,NA,"M",0
"0_25",NA,NA,"F",0
"0_26",NA,NA,"M",0
"0_27",NA,NA,"F",0
"0_28",NA,NA,"M",0
"0_29",NA,NA,"F",0
"0_30",NA,NA,"M",0
"0_31",NA,NA,"F",0
"0_32",NA,NA,"M",0
"0_33",NA,NA,"F",0
"0_34",NA,NA,"M",0
"0_35",NA,NA,"F",0
"0_36",NA,NA,"M",0
"0_37",NA,NA,"F",0
"0_38",NA,NA,"M",0
"0_39",NA,NA,"F",0
"0_40",NA,NA,"M",0
"0_41",NA,NA,"F",0
"0_42",NA,NA,"M",0
"0_43",NA,NA,"F",0
"0_44",NA,NA,"M",0
"0_45",NA,NA,"F",0
"0_46",NA,NA,"M",0
"0_47",NA,NA,"F",0
"0_48",NA,NA,"M",0
"0_49",NA,NA,"F",0
"0_50",NA,NA,"M",0
"0_51",NA,NA,"F",0
"0_52",NA,NA,"M",0
"0_53",NA,NA,"F",0
"0_54",NA,NA,"M",0
"0_55",NA,NA,"F",0
"0_56",NA,NA,"M",0
"0_57",NA,NA,"F",0
"0_58",NA,NA,"M",0
"0_59",NA,NA,"F",0
"0_60",NA,NA,"M",0
"0_61",NA,NA,"F",0
"0_62",NA,NA,"M",0
"0_63",NA,NA,"F",0
"0_64",NA,NA,"M",0
"0_65",NA,NA,"F",0
"0_66",NA,NA,"M",0
"0_67",NA,NA,"F",0
"0_68",NA,NA,"M",0
"0_69",NA,NA,"F",0
"0_70",NA,NA,"M",0
"0_71",NA,NA,"F",0
"0_72",NA,NA,"M",0
