"animal","sex","mass_kg","tail_cm","shy_sec"
"8_1","F",3.64442327305713,6.01395012253601,34.4538112612453
"8_2","F",3.41039220061777,4.93207999936582,30.1243125500775
"8_3","F",3.26131047016271,5.535941198951,33.973026119264
"8_4","F",3.87414400149498,9.11866344937567,33.4349232805074
"8_5","F",4.47389113890086,7.80471813876139,33.3802501718902
"8_6","F",4.32994176580631,5.61101220746882,28.5241478945437
"8_7","F",4.85311724408761,7.00969376720027,45.7999555298764
"8_8","M",2.68519277372371,6.57851964721042,30.8636826288464
"8_9","F",5.38400089813099,7.53383081743509,31.324627818772
"8_10","M",4.20307438312519,7.41800033081001,21.2938274590618
"8_11","F",6.79470283411715,9.27146538354967,35.673226283837
"8_12","M",5.26471287673202,8.75974726825004,27.3325855274406
"8_13","F",3.55625229265729,6.23122872445863,24.2414717553653
"8_14","M",6.7952258508161,8.54391903475959,23.858457820368
"8_15","M",4.93935894466547,6.4660503538067,25.2696769152521
"8_16","M",5.49060767888572,7.06440504557707,37.5972513567206
"8_17","F",4.13692046741487,6.76465117712742,36.743398476857
"8_18","M",4.6202671811463,7.40849357530096,25.6863984512222
"8_19","M",5.17782319904793,5.92744053186041,21.5504729007732
"8_20","M",4.91260124772377,6.77030095679641,33.5912602794936
"8_21","M",7.09737744300583,10.4472049674353,22.5439956323887
"8_22","M",5.76948090452842,9.74467891874075,24.9967171354703
"8_23","M",5.65746754352215,8.17640159026108,25.0688713855632
"8_24","M",5.11394331138182,7.78996091857383,28.4164220400788
"8_25","M",5.32027506764762,5.99800950057633,23.0944191402748
"8_26","M",6.01852937570957,8.74725297497672,32.8551020464858
"8_27","M",5.37695964333239,9.43468492025681,33.9013742976109
"8_28","M",6.8882183023468,12.1486382220672,26.6630554760785
"8_29","F",5.28703189728051,6.70985349923246,31.1763885683093
"8_30","F",3.56105918202927,5.60271982819445,20.0867638187756
"8_31","F",3.09359459281896,6.46452593147537,27.6933722666506
"8_32","F",4.81370671072612,8.77139155626841,44.7144486599921
"8_33","F",6.69440765951127,7.16010816764954,30.3335464860304
"8_34","M",5.76119407524804,8.95108390482645,32.0411299401117
"8_35","M",4.50128278923802,6.8048114818378,39.5241767316591
"8_36","F",4.67281069521512,8.10683976310402,27.2007835909328
"8_37","F",3.87193951458583,9.1571053565488,22.9046419325565
"8_38","M",4.37916534733168,6.1339223280366,23.8846142795705
"8_39","F",2.66547368063428,6.46342204407535,34.7025368552256
"8_40","M",4.3760748232487,6.31110964337216,27.2406379425047
"8_41","M",6.50162614730095,9.96441663106654,38.9354541270263
"8_42","M",5.46498600572105,9.13608852588104,29.8393573862346
"8_43","F",3.67974037483533,8.42996506031846,22.4990952120416
"8_44","F",4.18116957692667,8.92066019678713,38.6316200347837
"8_45","M",5.583986500767,7.05171022166243,29.6062652592658
"8_46","M",4.43431941423801,7.06993881097527,30.739666360642
"8_47","M",6.63627181576493,9.53956171311737,34.9728106251103
"8_48","M",7.89815722636226,10.3424989038062,31.6404481975713
"8_49","F",5.38946520166904,9.19557532134641,35.342028093882
"8_50","F",5.16403040350411,8.19901822303391,31.0138027710193
"8_51","M",4.44952577812421,7.28286838828203,33.7930537868021
"8_52","M",6.68355290257186,9.03848236803744,27.5987998871481
"8_53","F",6.83055440024507,9.3555575990985,26.090030956766
"8_54","F",5.6581475789665,9.29992334624465,23.8789377761525
"8_55","M",4.96973190801259,6.79332193621214,20.498262392055
"8_56","M",6.7638955310028,10.2333469398024,29.4992074365263
"8_57","M",5.07734648351928,8.97618066804644,28.2685345694481
"8_58","M",4.00700602014585,5.97779530250783,28.5323622473287
"8_59","M",3.95254822689322,7.92264962703217,36.2751226257424
"8_60","F",4.84216037937401,8.19588090832815,22.3322925904706
"8_61","F",1.39625756870526,2.31005114790088,33.2658992103792
"8_62","F",4.69847646401483,5.8553975642399,34.9806944345175
"8_63","F",3.17450453347095,6.21193542923932,29.811577309356
"8_64","F",3.727199550274,5.44442745331374,30.6405115998858
"8_65","F",1.80211094460973,5.38697708949429,35.1776263579771
"8_66","F",5.60744992463996,8.58249456409392,31.7634278543564
"8_67","F",3.5663429956846,6.85371844526093,47.1261888347465
"8_68","M",3.55830498817885,6.63200763235839,39.6197007968187
"8_69","M",4.32064288633618,6.26392618721141,33.6862148009007
"8_70","M",4.02348663663529,6.76441042796462,32.0305150568643
"8_71","M",4.92848653505121,5.93677575685307,24.912938356762
"8_72","M",5.64967890183237,9.10465218109893,30.4449950958618
"8_73","F",5.00503119613218,9.52719489066987,33.027333371765
"8_74","M",4.70159114614879,9.11858086151666,32.3587849515673
"8_75","M",4.8035962081124,10.5509759367294,24.9190973166803
"8_76","M",5.04025773145167,9.14552677122629,30.3446529426183
"8_77","M",5.10984998372588,8.01832677484128,32.3141607043113
"8_78","M",3.98989749482348,7.18675194087509,23.2592744642678
"8_79","M",6.53746808831293,8.52085176483729,31.0605695244712
"8_80","M",3.8935495768559,7.30618218708755,36.3201403434023
"8_81","M",3.42551341692425,6.42386332033469,20.1735886403551
"8_82","F",4.49792691544453,7.76343552327243,31.5776762764942
"8_83","F",5.77605571090972,7.70507907459695,26.5872227847718
"8_84","F",4.15181876598528,7.26357879699261,32.605442485834
"8_85","M",6.05846653303662,5.08798763613207,33.1034411830315
"8_86","M",6.17147108292188,10.1684880020659,22.78485394128
"8_87","F",6.40694035705419,9.47979795899909,25.1962340632319
"8_88","M",6.3881633383108,7.01236401809876,28.9227628558172
"8_89","M",4.36350862615434,7.69053942892153,27.483430401199
"8_90","F",4.81542533832156,10.4553737995842,34.6565270687843
"8_91","M",4.34206939188829,8.94037668403775,26.6034132588032
"8_92","M",5.1036258960136,9.94406983433293,17.869212647047
"8_93","M",7.90650221362599,10.5940745407465,33.9827535668815
"8_94","M",5.5793363241522,7.64535972368283,28.3584232499655
"8_95","F",5.39701090901424,8.19015860620608,32.2713621583163
"8_96","M",5.04403015439631,7.76239177804382,30.4715765435384
"8_97","M",5.35522929099469,9.54937811343501,33.5092489056543
"8_98","M",3.88673689386221,7.73033057670304,29.9238840517534
"8_99","F",8.4247923952382,10.658856326261,31.4881702751602
"8_100","M",3.87739733708698,8.90523019880547,33.8269905697967
"8_101","M",3.57147136011674,6.00098976315225,37.7177584590928
"8_102","F",4.09609155714324,7.3327148935842,43.6503288944853
"8_103","M",4.09665044090049,8.46510004240932,33.161602436545
"8_104","F",4.21485288236414,8.40350164373115,24.7967921705444
"8_105","F",5.74761553848296,7.08460824724964,26.3121842659961
"8_106","F",4.0524077364275,5.09387053630461,26.5682895051907
"8_107","F",4.86660694403966,8.43387953777817,32.2230069042112
"8_108","M",5.57564606795292,8.52394828778412,26.7847557268089
"8_109","M",3.98797351186517,8.24603780037778,31.3282338174547
"8_110","F",3.28919680658342,4.82038892265015,34.8986179660284
"8_111","F",2.88529077246255,7.01156042979745,22.0515577743022
"8_112","M",2.42242412305161,6.53943389539978,36.2593439800223
"8_113","M",6.03888639852681,8.54900618469411,27.8980659952838
"8_114","F",4.43557964702647,10.1277717259849,28.2474682435274
