"","BodyMass","age_year","RightTarsus","SexEstimate","summer","minutes_s","avg_invert","group_size","BirdID","BirthYear","CatchYear","Observer","animal"
"1",18,1.75616438356164,25.9,1,1,1.42375508165334,5.15521640609487,2,1287,1997,1999,"KB",1287
"2",14,0.657534246575342,23.2,0,0,-1.28175629588881,5.83789656882623,5,1244,1997,1997,"KB",1244
"3",15.8,0.657534246575342,25.6,1,1,-0.425931268298944,6.34906043057842,3,1194,1996,1997,"KB",1194
"4",15.4,1,25.9,1,1,-0.370716750389921,6.34906043057842,2,1165,1996,1997,"DR",1165
"5",15.6,1.95342465753425,25.9,1,1,-0.0118223839812679,3.40909704468116,6,1159,1996,1998,"DD",1159
"6",16,1,25.7,1,1,-0.812432893662109,6.34906043057842,3,1159,1996,1997,"KB",1159
"7",14.8,5.14794520547945,24.7,0,1,-0.563967563071503,3.40909704468116,4,638,1993,1998,"DR",638
"8",13.1,5.08767123287671,24.8,0,1,-0.729611116798573,3.40909704468116,4,511,1993,1998,"DR",511
"9",16.9,4.01369863013699,27,1,1,-0.784825634707597,6.34906043057842,2,497,1993,1997,"DR",497
"10",15.6,6.26502732240437,23,0,1,-1.47500710857039,3.65308711255895,3,1244,1997,2003,"LB",1244
"11",17.1,5.56164383561644,25.9,1,1,-0.972554995598277,3.65308711255895,2,1287,1997,2003,"DR",1287
"12",16.2,9.98904109589041,25.7,1,1,-0.370716750389921,3.65308711255895,2,544,1993,2003,"LB",544
"13",14.9,3.88767123287671,24,0,1,-0.343109491435409,3.65308711255895,5,1506,1999,2003,"CE",1506
"14",15,7.16164383561644,22,0,1,-1.33697081379783,3.18841004325798,2,1244,1997,2004,"LB",1244
"15",15.7,1.92622950819672,25.3,1,1,-1.17132726007076,3.18841004325798,2,1742,2002,2004,"LB",1742
"16",14.6,2,25.4,1,1,-0.784825634707597,3.18841004325798,2,1742,2002,2004,"CE",1742
"17",17,11.0684931506849,26.9,1,1,0.926824420472131,3.18841004325798,4,497,1993,2004,"LB",497
"18",17.1,8.09041095890411,25.1,1,1,-0.321023684271799,3.18841004325798,2,1165,1996,2004,"LB",1165
"19",16.8,0.386301369863014,25.6,1,1,-0.453538527253456,3.18841004325798,2,2962,2004,2004,"CE",2962
"20",16.4,5.02739726027397,23.8,0,1,0.181428428700314,3.18841004325798,3,1506,1999,2004,"OV",1506
"21",16.6,3.79234972677596,24.2,1,1,0.99308184196296,3.18841004325798,4,1604,2000,2004,"CE",1604
"22",17.5,11.4493150684932,27,1,0,-0.619182080980526,5.85391449056687,4,497,1993,2004,"CE",497
"23",15.4,0.73972602739726,25.8,1,0,-1.29279919947061,5.85391449056687,4,2962,2004,2004,"CE",2962
"24",15,0.734246575342466,23.8,1,1,-0.867647411571132,3.76584093842371,4,3464,2004,2005,"AK",3464
