animal,Wood,Tarsus,Weight,Disp_Distance,White,Nb_Revival,Personality,Birth_Year,Birth_Temp,Birth_Moon
1,Wood_14,54.263477976203454,504.0072946083875,11.828335516136212,1,1,Medium,1535,21.873273590649365,Full
2,Wood_10,47.46900116459168,483.1031812152891,5.958543988468115,1,0,Bold,1535,17.344497420619298,Full
3,Wood_14,49.00712820594843,504.2078362150565,0.7044972019511635,0,3,Medium,1535,14.180102633235588,First
4,Wood_16,51.07163682503277,481.94389701906044,2.866003392423799,0,0,Bold,1535,20.932467945057613,New
5,Wood_19,42.601801278135,488.30655186163597,6.442587371254021,0,0,Shy,1535,17.7839006841148,First
6,Wood_10,47.89277055486644,498.2647891462977,5.700441311883994,1,0,Medium,1535,26.637763064665954,First
7,Wood_19,47.34668639368887,494.12141339259864,1.955020359553038,0,1,Bold,1535,25.91984762823737,New
8,Wood_19,45.30409910709112,473.00885572272114,1.8656219452222556,0,0,Medium,1535,12.12789871231038,Last
9,Wood_8,54.56318789809161,521.0042176666506,1.1884450674484035,1,1,Bold,1535,24.660436053026302,Last
10,Wood_14,54.46877087213637,517.4049313390852,25.484542015606493,0,1,Medium,1535,31.068911421995637,Full
11,Wood_20,46.71118785312841,507.91409448152206,2.9373414635717943,1,0,Shy,1535,17.436675521870534,Full
12,Wood_24,50.091758240432206,484.9527971169026,2.3540625821319665,0,5,Bold,1535,17.81557239436296,First
13,Wood_12,52.91403289353979,514.4498852732244,1.0917046444079863,0,5,Medium,1535,14.108584667921862,First
14,Wood_11,46.26215232562752,481.829547290595,5.117955107596017,0,2,Medium,1535,16.637373689554675,First
15,Wood_11,49.09622823526014,494.41237280825067,14.556827174783537,0,2,Medium,1535,20.64241241830525,Full
16,Wood_28,46.11968040874783,486.4474446026653,3.805946871103564,0,2,Medium,1535,16.890061408110824,Last
17,Wood_15,42.20495022445927,470.60752493983193,4.8847882837798045,0,0,Medium,1535,14.97360805803711,First
18,Wood_14,50.39094400561108,510.42239041776514,5.107547817979538,0,4,Shy,1535,10.445346329806421,Full
19,Wood_23,47.94879488035254,478.6117045278014,2.950802245894317,0,1,Shy,1535,21.397930520942975,Full
20,Wood_3,48.444641689172016,510.94893453461464,6.412976844370185,0,0,Medium,1535,24.578043432469908,First
21,Wood_13,51.22177397160549,526.6184633596702,3.3666216633420505,0,1,Medium,1535,21.645473469215652,First
22,Wood_12,45.58739274998776,470.82098482865507,3.0751141556832877,0,4,Medium,1535,18.87217513632679,Full
23,Wood_9,47.93022470801126,459.65735109375,4.852027063418741,0,2,Medium,1535,20.698889704733098,Full
24,Wood_14,46.92753285832076,488.1911855756614,1.59563751713175,0,1,Medium,1535,23.37769098186199,New
25,Wood_10,45.10685796456786,476.23540988158726,1.813147400327392,0,1,Shy,1535,21.735196163623495,Last
26,Wood_16,51.158032332094976,494.78034034831313,1.3162234768541572,0,0,Shy,1535,16.115399100701374,Last
27,Wood_11,47.33331539414167,478.81305593504425,1.9985899219325458,1,3,Shy,1535,17.39000155352887,Full
28,Wood_15,41.43847982178823,480.59791467267763,1.696766372290578,1,1,Medium,1535,16.762609738999828,First
29,Wood_4,52.950480445925756,503.48898389274535,1.4816515442435856,1,1,Shy,1535,18.226788470192638,New
30,Wood_14,48.21576858847765,485.84810136202327,2.9115429704440303,0,3,Medium,1535,22.871395609704205,Last
31,Wood_7,45.03199088647193,474.3240760211117,1.1165599676080535,0,1,Bold,1535,20.14753225969713,New
32,Wood_12,47.326744551085355,468.5774195676531,4.771498408863725,0,1,Bold,1535,18.079927781746328,Last
33,Wood_21,46.86364603276642,496.0806690600867,9.332472328137799,0,2,Medium,1535,16.017500045609033,Last
34,Wood_18,50.82158081102865,484.41675308184,0.19919887980280748,0,2,Shy,1535,20.72014586030153,New
35,Wood_23,53.226598044564575,518.0587472649995,1.5968002920611606,0,0,Bold,1535,20.917433781039467,Last
36,Wood_21,44.852682947214504,469.89897576143744,0.8628347971411764,0,0,Medium,1535,10.802990217326311,First
37,Wood_12,49.5366009109536,500.17184314542965,1.0233812609721915,0,0,Medium,1535,18.329921259332973,New
38,Wood_16,46.34045982670189,496.6944463282842,2.988779609570647,1,2,Bold,1535,22.244931248280633,Full
39,Wood_14,47.52679849904093,500.9497737156439,3.601158206132665,0,0,Medium,1535,12.641495873758615,Last
40,Wood_28,51.74617631922014,497.3513987657309,7.207265678173661,1,1,Shy,1535,18.75116174958613,Full
41,Wood_9,47.33457470933894,486.7307221898321,10.194661077354477,0,2,Medium,1535,21.23735405538094,First
42,Wood_29,43.58807362897889,489.1120160200448,4.230410175048733,0,2,Medium,1535,22.003170463472703,New
43,Wood_23,56.76950652500381,522.1821832779966,9.656553753145916,1,0,Medium,1535,30.343085557155796,Full
44,Wood_21,45.0355424347407,490.7168716974385,5.69642732326259,0,0,Shy,1535,23.042661973136646,Full
45,Wood_15,42.25931982981453,471.8470927100714,6.023044951520526,0,2,Shy,1535,17.36078936218286,Last
46,Wood_27,46.186637109208924,499.17852510796365,8.13157052736302,0,0,Medium,1535,18.833002124949285,Last
47,Wood_18,47.03023142632366,498.39116953625916,3.2814735033228732,0,0,Medium,1535,13.03294966602915,Full
48,Wood_26,42.957038551452435,495.6475330422261,1.8098041929677704,0,0,Medium,1535,15.557161309811331,Last
49,Wood_19,43.0871361956185,479.9981718829412,9.196592229139192,0,2,Shy,1535,22.429676036969994,Full
50,Wood_17,47.07510355953519,485.0369587028468,0.9263346349926435,1,1,Shy,1535,17.764069160459677,Full
51,Wood_8,49.46295551823233,499.0312364957746,3.888156588190987,1,1,Bold,1535,21.817513649816725,First
52,Wood_24,45.945530026734744,465.42893194635394,2.8161268990616413,0,5,Shy,1535,14.002645497908594,Full
53,Wood_4,46.43146570760426,471.2969987061802,1.6562023602268672,0,3,Medium,1535,22.07145519922296,Full
54,Wood_24,44.811119168121245,478.4371044078177,4.451056472668933,0,0,Shy,1535,18.41333841836164,First
55,Wood_13,53.260928766190105,496.3176870335583,4.818072602989712,1,4,Shy,1535,16.30214768273891,Full
56,Wood_18,47.66083744651522,478.8779044576467,4.906394778639043,1,0,Shy,1535,25.706735058092697,Last
57,Wood_17,48.98190040840802,509.4160401596562,1.3457010038461872,0,2,Medium,1535,20.390270541019685,Full
58,Wood_4,49.912642890846314,498.01366567602975,2.6924304733229922,0,0,Bold,1535,26.436009657365272,New
59,Wood_15,46.29525977954088,483.328428311791,3.508038475870714,0,1,Shy,1535,23.61455851101765,Full
60,Wood_18,50.75115139528363,507.09694581964766,4.32423489953745,0,1,Medium,1535,24.352521814705632,New
61,Wood_1,39.39209246772712,446.43527312600156,3.1460803429877853,0,0,Medium,1535,10.948276071599757,Last
62,Wood_25,53.19946453808343,506.6237347114235,2.168353272818011,1,3,Medium,1535,17.852708145599294,First
63,Wood_9,47.85134650296513,461.7185118977425,0.525439127515892,0,0,Shy,1535,16.35223801732788,New
