id,mother,father
1306,NA,NA
1304,NA,NA
1298,NA,NA
1293,NA,NA
1290,NA,NA
1288,NA,NA
1284,NA,NA
1283,NA,NA
1282,NA,NA
1278,NA,NA
1276,NA,NA
1263,NA,NA
1260,NA,NA
1257,NA,NA
1252,NA,NA
1251,NA,NA
1243,NA,NA
1237,NA,NA
1235,NA,NA
1232,NA,NA
1229,NA,NA
1227,NA,NA
1224,NA,NA
1220,NA,NA
1219,NA,NA
1216,NA,NA
1214,NA,NA
1211,NA,NA
1195,NA,NA
1186,NA,NA
1184,NA,NA
1174,NA,NA
1150,NA,NA
1146,NA,NA
1145,NA,NA
1140,NA,NA
1137,NA,NA
1128,NA,NA
1126,NA,NA
1117,NA,NA
1116,NA,NA
1113,NA,NA
1112,NA,NA
1108,NA,NA
1107,NA,NA
1097,NA,NA
1091,NA,NA
1089,NA,NA
1087,NA,NA
1085,NA,NA
1084,NA,NA
1078,NA,NA
1077,NA,NA
1076,NA,NA
1075,NA,NA
1072,NA,NA
1065,NA,NA
1042,NA,NA
1033,NA,NA
1030,NA,NA
1025,NA,NA
1011,NA,NA
1010,NA,NA
1007,NA,NA
1005,NA,NA
997,NA,NA
991,NA,NA
990,NA,NA
979,NA,NA
977,NA,NA
976,NA,NA
968,NA,NA
956,NA,NA
955,NA,NA
953,NA,NA
952,NA,NA
950,NA,NA
942,NA,NA
934,NA,NA
926,NA,NA
922,NA,NA
909,NA,NA
908,NA,NA
895,NA,NA
893,NA,NA
884,NA,NA
883,NA,NA
882,NA,NA
873,NA,NA
869,NA,NA
868,NA,NA
866,NA,NA
863,NA,NA
862,NA,NA
855,NA,NA
854,NA,NA
853,NA,NA
842,NA,NA
821,NA,NA
812,NA,NA
811,NA,NA
796,NA,NA
792,NA,NA
791,NA,NA
775,NA,NA
772,NA,NA
771,NA,NA
768,NA,NA
765,NA,NA
761,NA,NA
745,NA,NA
742,NA,NA
740,NA,NA
736,NA,NA
710,NA,NA
703,NA,NA
702,NA,NA
701,NA,NA
700,NA,NA
695,NA,NA
692,NA,NA
687,NA,NA
683,NA,NA
677,NA,NA
672,NA,NA
670,NA,NA
666,NA,NA
659,NA,NA
657,NA,NA
652,NA,NA
644,NA,NA
642,NA,NA
641,NA,NA
634,NA,NA
625,NA,NA
623,NA,NA
620,NA,NA
618,NA,NA
617,NA,NA
601,NA,NA
600,NA,NA
587,NA,NA
580,NA,NA
577,NA,NA
573,NA,NA
571,NA,NA
570,NA,NA
566,NA,NA
565,NA,NA
555,NA,NA
554,NA,NA
542,NA,NA
540,NA,NA
539,NA,NA
538,NA,NA
529,NA,NA
527,NA,NA
512,NA,NA
511,NA,NA
504,NA,NA
497,NA,NA
489,NA,NA
485,NA,NA
475,NA,NA
474,NA,NA
473,NA,NA
468,NA,NA
467,NA,NA
465,NA,NA
458,NA,NA
456,NA,NA
451,NA,NA
450,NA,NA
440,NA,NA
438,NA,NA
421,NA,NA
412,NA,NA
393,NA,NA
381,NA,NA
374,NA,NA
354,NA,NA
350,NA,NA
339,NA,NA
331,NA,NA
328,NA,NA
327,NA,NA
323,NA,NA
320,NA,NA
313,NA,NA
299,NA,NA
293,NA,NA
290,NA,NA
273,NA,NA
272,NA,NA
267,NA,NA
266,NA,NA
265,NA,NA
256,NA,NA
252,NA,NA
245,NA,NA
228,NA,NA
215,NA,NA
205,NA,NA
199,NA,NA
196,NA,NA
191,NA,NA
185,NA,NA
174,NA,NA
164,NA,NA
160,NA,NA
143,NA,NA
140,NA,NA
102,NA,NA
92,NA,NA
85,NA,NA
58,NA,NA
46,NA,NA
45,NA,NA
39,NA,NA
31,NA,NA
23,NA,NA
19,NA,NA
18,NA,NA
13,NA,NA
4,NA,NA
1029,1145,NA
1299,811,NA
643,642,NA
1183,1186,NA
1238,1237,NA
891,895,NA
1181,1010,NA
568,761,NA
1080,1085,NA
697,701,NA
1295,1299,NA
1182,1186,NA
585,587,NA
951,956,NA
1249,1252,NA
1144,1145,625
564,565,NA
948,950,NA
1009,1010,NA
731,1306,821
665,666,821
810,811,NA
1236,1237,NA
1226,1232,NA
954,956,745
947,955,745
537,538,NA
949,950,821
1275,1278,NA
1305,1306,NA
576,577,NA
809,811,821
1180,1186,NA
584,587,NA
1088,1091,512
533,542,NA
614,618,NA
865,540,NA
889,600,NA
905,908,NA
944,956,601
967,968,NA
551,538,601
1026,1029,NA
859,863,NA
1109,1112,NA
1302,1306,NA
1073,1077,NA
661,666,NA
759,761,NA
636,642,NA
698,701,NA
1296,1299,NA
558,570,NA
1253,1257,NA
578,585,NA
1090,1091,NA
978,979,NA
1233,1237,NA
906,908,NA
945,955,NA
1250,1252,NA
963,968,NA
535,538,NA
793,796,NA
621,623,NA
1027,1029,NA
682,683,NA
655,657,NA
1303,1306,1290
662,666,NA
631,665,NA
760,761,NA
1081,1085,1097
1079,1080,1097
637,642,1097
1294,1295,1097
586,587,NA
579,585,NA
541,542,742
1225,1232,NA
946,955,NA
1127,1128,NA
525,527,NA
536,538,NA
794,796,NA
790,792,NA
622,623,1042
892,895,1042
1028,1029,NA
1194,1195,NA
656,657,NA
1110,1112,926
1277,1278,NA
1074,1077,926
632,665,NA
638,642,1290
699,701,926
574,577,NA
572,576,926
1141,809,NA
807,810,NA
932,1295,926
559,570,NA
1176,1182,1097
1177,1183,NA
988,990,NA
676,1088,NA
599,600,NA
1234,1237,NA
1228,1236,NA
503,1226,670
960,952,NA
526,527,NA
964,968,555
530,537,NA
795,796,NA
860,863,NA
562,565,NA
1136,1195,NA
1178,1305,NA
975,1073,926
1082,1085,1290
639,642,1290
885,697,1097
575,577,NA
1142,809,926
808,810,NA
933,1295,NA
1041,1183,1290
608,652,NA
1254,1257,NA
582,584,NA
989,990,NA
717,533,740
1047,600,NA
1045,1233,NA
1191,1236,NA
907,908,NA
911,953,NA
965,968,NA
531,537,NA
861,863,NA
993,1109,NA
1008,1010,677
1198,1302,NA
730,731,NA
663,666,926
678,662,NA
633,665,NA
1261,1080,926
961,698,NA
626,576,926
1297,1299,NA
1185,1186,NA
1189,1182,1097
628,652,1298
1255,1257,NA
711,1253,NA
828,541,NA
888,889,NA
1221,1232,555
505,1226,NA
966,968,NA
894,895,NA
1129,891,NA
681,1027,1108
1053,1026,NA
718,682,NA
563,565,NA
553,554,NA
598,655,NA
596,949,NA
1111,1112,NA
664,666,1108
679,662,NA
567,568,926
1083,1085,926
1262,1080,926
640,642,NA
1064,558,926
1179,1180,926
1256,1257,926
583,584,NA
744,614,NA
1048,600,1084
1279,978,926
1192,1236,1298
915,954,539
925,945,539
510,1249,NA
532,537,NA
557,790,539
943,622,NA
1199,1028,NA
560,565,NA
899,562,NA
1006,1010,NA
1274,1277,641
597,1275,641
1196,1302,1078
660,666,1005
654,661,571
629,665,NA
825,631,NA
1259,1080,926
1096,699,NA
1248,932,909
1040,1183,NA
709,1253,NA
867,585,1005
615,618,1146
521,540,1084
864,865,NA
887,889,926
1231,1237,926
1190,1236,NA
502,1226,NA
914,954,NA
910,953,NA
770,947,539
524,527,NA
509,1249,1084
480,963,NA
534,538,NA
789,792,1146
1052,1026,NA
561,565,NA
552,554,NA
1019,1110,1224
992,1109,NA
1070,1303,NA
1197,1302,641
973,1073,909
739,678,NA
630,665,NA
635,642,687
528,572,NA
1143,809,NA
627,628,NA
507,1255,NA
581,584,1298
675,1088,1229
616,618,NA
743,614,NA
1046,600,942
782,1047,NA
1247,1225,1229
881,946,641
688,526,812
962,968,NA
481,963,NA
872,536,NA
556,790,1229
890,895,NA
1024,892,NA
1130,891,NA
671,672,NA
122,562,NA
94,554,NA
118,855,NA
99,1275,1150
150,1302,1065
109,731,893
139,1077,NA
108,661,NA
104,665,NA
154,1080,700
111,1261,1184
106,636,700
98,626,1030
146,1294,1146
101,608,NA
153,1257,1084
91,1255,641
156,711,NA
96,584,909
119,585,1184
136,600,NA
121,889,812
135,1233,812
152,1225,1184
112,906,NA
125,954,NA
129,968,NA
116,964,1184
89,963,1150
93,538,1229
128,622,539
147,891,NA
148,883,NA
193,1029,NA
203,1028,NA
195,1199,NA
198,1112,NA
207,1274,NA
166,1275,NA
177,1198,791
204,975,NA
172,660,1282
206,1080,1227
173,1261,1011
167,639,687
190,698,NA
162,572,NA
187,1296,NA
197,558,NA
194,1183,687
184,628,1011
182,1254,NA
171,1253,991
209,711,687
165,584,1227
183,585,1227
181,541,NA
192,744,NA
180,1048,573
179,1047,909
186,889,909
211,978,NA
202,1236,812
175,906,991
188,954,1224
189,945,812
178,925,812
176,947,812
169,526,1075
210,1250,1251
208,1276,1184
161,1249,812
212,510,812
163,537,NA
200,891,812
170,869,NA
201,1126,NA
168,659,NA
234,562,NA
233,866,NA
243,489,NA
232,855,NA
227,597,NA
240,1303,NA
248,1302,884
237,1073,1007
235,663,1117
238,679,NA
223,661,NA
239,629,NA
224,634,NA
249,637,909
220,626,909
221,1142,909
251,932,909
225,1248,1075
244,1189,NA
230,1254,NA
219,584,1227
217,581,NA
229,541,NA
222,618,1227
231,615,1227
226,887,NA
218,1279,909
247,1236,768
246,1190,1075
250,1225,1304
254,1250,NA
253,1276,1184
216,1249,NA
255,510,768
213,963,1007
236,622,1184
241,620,NA
242,891,NA
214,1089,NA
288,1029,NA
298,563,566
257,552,NA
296,1293,1075
301,1284,NA
283,1109,NA
286,1010,NA
278,730,NA
282,1073,NA
297,975,NA
281,664,1220
261,665,873
284,629,NA
260,639,909
264,638,NA
285,1096,868
280,698,504
258,626,NA
259,1142,NA
279,1296,1007
268,1256,NA
271,541,1227
287,744,1211
274,865,NA
270,1047,NA
276,889,1235
300,978,NA
295,1236,NA
294,1190,1075
277,1221,1075
269,925,922
263,526,NA
275,967,NA
291,891,NA
292,1126,NA
262,672,NA
289,1033,NA
332,1293,NA
302,497,NA
319,855,NA
325,1110,NA
329,1019,NA
335,1277,NA
334,1274,NA
310,597,1075
330,1302,1220
311,660,NA
303,654,NA
307,104,NA
306,634,NA
316,631,NA
318,1262,1011
312,1261,1116
326,961,617
304,584,909
309,96,NA
324,988,1304
317,615,NA
315,1047,1087
308,887,1227
322,1221,922
321,907,NA
333,905,580
314,925,922
305,526,504
336,1250,922
378,1140,NA
376,489,NA
360,1283,NA
359,854,NA
344,1275,NA
380,1302,NA
379,150,1263
338,1197,NA
340,177,NA
383,975,NA
356,204,1007
337,654,NA
348,104,NA
361,567,1007
358,1262,1076
346,639,NA
368,1096,504
343,626,862
370,98,1087
363,1296,NA
366,1295,92
353,146,NA
377,1189,1076
345,184,976
382,153,1087
384,711,1072
341,581,1076
357,615,NA
372,744,NA
351,192,1087
373,186,NA
349,887,NA
385,978,NA
352,135,NA
362,907,NA
365,189,768
355,925,934
347,526,893
367,161,1075
371,509,1075
386,510,1304
342,537,NA
364,557,768
375,620,NA
369,148,NA
419,563,NA
397,298,NA
417,94,NA
400,232,NA
394,597,NA
414,248,1260
403,730,504
395,660,NA
408,629,NA
391,634,NA
401,567,1007
399,1262,692
418,249,NA
390,285,NA
411,961,566
413,220,692
424,221,1087
406,1295,1087
420,932,NA
404,244,NA
387,1255,228
388,581,NA
407,988,NA
398,541,1304
392,229,1304
409,744,NA
410,1233,1211
396,135,934
416,202,NA
415,1190,143
402,1221,1260
422,1250,934
405,216,692
423,510,1304
389,236,1304
436,193,NA
464,1026,NA
460,198,772
471,1019,NA
437,329,NA
441,597,NA
472,1302,566
469,150,NA
428,1197,NA
445,1198,1211
430,177,NA
439,109,290
443,139,1087
433,281,692
435,235,566
459,629,NA
425,284,NA
444,1261,143
476,260,NA
448,279,NA
457,268,NA
429,1255,873
478,711,1087
434,584,NA
431,581,710
426,119,1211
449,541,1260
447,1047,853
462,276,NA
442,135,1260
463,247,1075
470,202,199
452,1221,NA
427,505,853
453,189,267
446,925,1075
479,269,504
455,178,1075
477,1276,1075
454,216,1260
461,509,1075
466,116,191
432,537,245
34,1026,NA
6,325,NA
36,1019,771
14,139,256
33,973,252
21,204,NA
12,660,1087
17,739,692
15,1261,NA
30,1096,775
8,285,1076
16,146,1137
7,184,NA
28,268,1263
3,1255,1087
9,96,1260
37,217,1072
1,119,873
10,324,873
22,541,1260
5,287,1076
11,192,NA
20,1048,1107
2,270,1260
24,295,1075
35,1190,1075
25,907,NA
26,189,293
27,178,934
29,161,1075
32,509,1211
38,510,NA
67,1053,NA
79,1019,NA
51,329,NA
81,344,NA
43,330,160
77,150,164
41,379,1219
54,109,381
70,282,290
87,237,350
69,973,160
50,383,NA
48,235,NA
44,654,228
62,567,882
60,1262,NA
59,318,1076
82,249,529
75,368,266
68,190,NA
80,251,NA
52,1248,185
49,225,185
64,382,185
56,230,NA
88,711,350
55,209,1107
53,96,842
83,217,NA
42,119,1107
61,357,NA
78,372,252
47,287,205
71,276,NA
57,135,215
65,352,102
72,247,1075
76,1190,NA
40,355,92
74,314,164
73,254,92
63,536,NA
66,557,92
86,241,1263
84,369,NA
696,436,143
858,232,NA
1020,1110,1072
588,325,NA
1123,469,NA
974,1073,NA
919,297,354
813,204,695
844,356,421
996,629,NA
845,1262,215
741,358,473
836,318,393
1004,346,215
1267,260,215
1086,961,882
1200,370,140
1286,221,350
712,96,1260
1124,341,1072
490,119,1260
827,541,1260
843,615,NA
735,192,215
787,274,140
1035,276,185
1061,186,1260
870,295,102
1050,367,228
1022,509,252
1021,1110,NA
492,330,196
763,443,NA
1264,237,299
1023,973,NA
814,204,374
748,660,174
802,12,NA
593,235,102
752,476,NA
1187,411,695
1169,326,695
1201,370,412
823,363,702
912,244,NA
876,382,NA
980,457,NA
1161,478,465
610,384,299
733,209,328
513,581,NA
645,449,NA
719,229,1107
830,317,215
1175,372,NA
518,287,702
788,274,273
1062,186,1260
779,218,695
901,352,NA
916,189,143
781,925,102
548,446,143
482,355,102
1114,466,191
1246,241,NA
1193,460,NA
1043,36,NA
493,330,456
1258,43,290
486,379,290
1051,33,438
920,297,320
815,204,NA
857,21,205
749,660,695
569,281,468
673,17,299
837,318,205
753,476,NA
998,1096,695
1098,220,NA
1287,221,205
1204,251,695
706,1248,NA
607,101,NA
877,382,NA
1212,28,NA
798,3,695
1157,429,228
1162,478,215
611,384,NA
734,209,695
514,581,228
646,449,331
726,398,191
720,229,191
849,357,191
831,317,191
519,287,NA
1155,447,191
506,270,102
756,135,265
902,352,NA
1167,1190,NA
549,446,252
483,355,313
1133,314,293
1057,455,474
995,161,293
1131,29,265
957,129,313
624,163,NA
494,330,NA
1170,150,465
487,379,450
1265,237,NA
816,204,NA
803,12,467
674,17,NA
1101,459,NA
838,318,NA
1015,75,NA
1002,8,272
1188,411,320
1099,220,NA
824,363,46
1209,80,NA
680,225,473
878,382,299
1153,56,NA
612,384,299
713,96,102
515,581,299
667,42,205
721,229,205
850,357,NA
1119,78,215
606,2,102
1036,276,NA
1031,462,199
1063,186,NA
757,135,NA
1271,65,NA
871,295,NA
777,35,393
786,321,NA
917,189,327
550,446,265
1115,254,NA
958,129,199
689,236,NA
603,588,NA
1044,36,NA
495,330,NA
499,338,NA
691,763,13
927,1264,NA
984,844,475
750,660,272
804,12,272
594,235,473
1066,435,339
1245,62,644
937,361,46
1056,1004,272
1268,260,272
754,476,NA
999,1096,272
1240,30,473
1202,370,NA
1205,251,473
879,382,NA
981,457,NA
1158,429,475
737,230,NA
1163,478,NA
714,96,299
516,581,NA
590,513,NA
668,42,205
647,449,NA
727,398,474
722,229,NA
1120,78,458
520,287,215
1032,462,323
1272,65,NA
1173,416,NA
1168,1190,474
923,453,NA
1166,27,NA
1058,455,323
959,129,NA
1222,369,NA
604,588,NA
1054,428,339
500,338,997
764,443,NA
1266,237,NA
685,1023,474
707,50,997
1148,815,NA
1013,593,NA
1067,435,NA
491,673,NA
1269,260,272
1241,30,473
1003,8,1243
1103,1187,1243
1039,823,NA
1071,1204,421
738,912,458
649,345,NA
523,607,39
1213,28,320
799,3,23
897,798,NA
650,1157,1113
1154,56,NA
715,96,327
773,9,327
766,1,NA
704,426,327
728,398,327
851,357,474
832,317,NA
936,518,19
846,11,NA
1156,447,199
1037,276,474
758,135,NA
903,352,NA
784,1167,NA
918,189,440
970,916,458
1049,548,765
1059,455,458
690,236,NA
605,588,NA
496,330,NA
994,494,NA
488,379,NA
762,487,45
1307,41,1025
1055,428,NA
724,14,NA
1034,282,NA
708,50,NA
1207,816,NA
928,748,NA
805,12,NA
595,235,NA
1068,435,NA
938,361,NA
839,318,458
939,753,NA
1217,249,NA
1242,30,NA
1104,1187,NA
1151,1098,NA
1203,370,NA
1210,80,511
913,244,NA
982,457,NA
800,3,NA
898,798,977
